address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
1257 Amazon Ln,Poinciana,FL,34759,69000,,,,35,8,O6427059,https://www.redfin.com/FL/Poinciana/1257-Amazon-Ln-34759/home/46256165,poinciana,34759
18 Anchor Inn Rd,Lake Wales,FL,33898,69900,,,,8,8,K4903549,https://www.redfin.com/FL/Lake-Wales/18-Anchor-Inn-Rd-33898/home/46159631,poinciana,33898
311 Hibiscus Dr,Poinciana,FL,34759,69900,,,,25,8,O6402690,https://www.redfin.com/FL/Poinciana/311-Hibiscus-Dr-34759/home/46148829,poinciana,34759
308 Hibiscus Dr,Poinciana,FL,34759,69900,,,,25,8,O6402695,https://www.redfin.com/FL/Poinciana/308-Hibiscus-Dr-34759/home/46148782,poinciana,34759
Shetland Dr,Lake Wales,FL,33898,72000,,,,,8,TB8499953,https://www.redfin.com/FL/Lake-Wales/Shetland-Dr-33898/home/46192980,poinciana,33898
16 Saddlebag Trl S,Lake Wales,FL,33898,72000,,,,244,8,K4903466,https://www.redfin.com/FL/Lake-Wales/16-Saddlebag-Trl-33898/home/113439253,poinciana,33898
9876 SR 60 E,Lake Wales,FL,33898,75000,,,,,8,P4938742,https://www.redfin.com/FL/Lake-Wales/9876-State-Road-60-E-33898/home/163259248,poinciana,33898
317 Bowfin Dr,Poinciana,FL,34759,75000,,,,21,8,TB8523656,https://www.redfin.com/FL/Poinciana/317-Bowfin-Dr-34759/home/46260254,poinciana,34759
1504 Eloise Ct,Poinciana,FL,34759,75000,,,,,8,O6419707,https://www.redfin.com/FL/Poinciana/1504-Eloise-Ct-34759/home/46254262,poinciana,34759
2156 Old Hickory Tree Rd,Saint Cloud,FL,34772,75000,,,,,8,S5146914,https://www.redfin.com/FL/Saint-Cloud/2156-Old-Hickory-Tree-Rd-34772/home/162666243,poinciana,34769
254 Oleander Rd,Lake Wales,FL,33898,79000,3,2,1185,,single_family,O6417829,https://www.redfin.com/FL/Lake-Wales/254-Oleander-Rd-33898/home/46141818,poinciana,33898
